cau_trong,dap_an,cau_goc
Ái _____ như kỷ.,nhân,Ái nhân như kỷ.
Bụng _____ dạ chịu.,làm,Bụng làm dạ chịu.
_____ sự khởi đầu nan.,Vạn,Vạn sự khởi đầu nan.
"Giàu vì bạn, _____ vì vợ.",sang,"Giàu vì bạn, sang vì vợ."
"Giàu bán chó, _____ bán con.",khó,"Giàu bán chó, khó bán con."
"Sai con toán, _____ con trâu.",bán,"Sai con toán, bán con trâu."
"Anh em khinh trước, _____ nước khinh sau.",làng,"Anh em khinh trước, làng nước khinh sau."
Phép vua thua lệ _____,làng,Phép vua thua lệ làng.
"Cha mẹ ngoảnh đi con dại, cha mẹ _____ lại con khôn.",ngoảnh,"Cha mẹ ngoảnh đi con dại, cha mẹ ngoảnh lại con khôn."
Ẵm con _____ hơn bồng cháu ngoại.,chồng,Ẵm con chồng hơn bồng cháu ngoại.
"Biết _____ thưa thốt, không biết thì dựa cột mà nghe.",thì,"Biết thì thưa thốt, không biết thì dựa cột mà nghe."
Ăn _____ nhà thổi tù và hàng tổng.,cơm,Ăn cơm nhà thổi tù và hàng tổng.
"Ăn có nhai, _____ có nghĩ.",nói,"Ăn có nhai, nói có nghĩ."
Gió bấc _____ hiu sếu kêu thì rét.,hiu,Gió bấc hiu hiu sếu kêu thì rét.
Bà _____ xa không bằng láng giềng gần.,con,Bà con xa không bằng láng giềng gần.
Ở trong chăn mới _____ chăn có rận.,biết,Ở trong chăn mới biết chăn có rận.
Cá mè một _____,lứa,Cá mè một lứa.
"Ăn bát cơm dẻo, _____ nẻo đường đi.",nhớ,"Ăn bát cơm dẻo, nhớ nẻo đường đi."
Có công mài sắt có ngày _____ kim.,nên,Có công mài sắt có ngày nên kim.
"Con chẳng chê cha mẹ khó, chó _____ chê chủ nhà nghèo.",chẳng,"Con chẳng chê cha mẹ khó, chó chẳng chê chủ nhà nghèo."
_____ ăn miếng ngon chồng con trả người.,Hay,Hay ăn miếng ngon chồng con trả người.
"Được mùa quéo, _____ mùa chiêm.",héo,"Được mùa quéo, héo mùa chiêm."
Trâu đồng nào ăn cỏ _____ ấy.,đồng,Trâu đồng nào ăn cỏ đồng ấy.
Con sâu bỏ rầu _____ canh.,nồi,Con sâu bỏ rầu nồi canh.
Ở hiền _____ lành.,gặp,Ở hiền gặp lành.
Dâu dâu rể rể cũng kể là _____,con,Dâu dâu rể rể cũng kể là con.
"_____ không ăn, gạo còn đó.",Cơm,"Cơm không ăn, gạo còn đó."
"_____ về gạo, bạo về tiền.",Mạnh,"Mạnh về gạo, bạo về tiền."
Đóng cửa đi ăn _____,mày,Đóng cửa đi ăn mày.
Ở bầu thì _____ ở ống thì dài.,tròn,"Ở bầu thì tròn, ở ống thì dài."
Gái có công chồng chẳng _____,phụ,Gái có công chồng chẳng phụ.
"Giã gạo thì ốm, _____ cốm thì khoẻ.",giã,"Giã gạo thì ốm, giã cốm thì khoẻ."
Trâu bò húc _____ ruồi muỗi chết.,nhau,"Trâu bò húc nhau, ruồi muỗi chết."
"Khôn đâu đến trẻ, khỏe đâu _____ già.",đến,"Khôn đâu đến trẻ, khỏe đâu đến già."
